date	CoreTem	SkinTem
1.5333333333E+000	3.6970696964E+001	3.2189215186E+001
1.5500000000E+000	3.6971829291E+001	3.2176813278E+001
1.5666666667E+000	3.6972949961E+001	3.2164664562E+001
1.5833333333E+000	3.6974059102E+001	3.2152767428E+001
1.6000000000E+000	3.6975156842E+001	3.2141120218E+001
1.6166666667E+000	3.6976243308E+001	3.2129721231E+001
1.6333333333E+000	3.6977318626E+001	3.2118568719E+001
1.6500000000E+000	3.6978382923E+001	3.2107660895E+001
1.6666666667E+000	3.6979436324E+001	3.2096995935E+001
1.6833333333E+000	3.6980478955E+001	3.2086571978E+001
1.7000000000E+000	3.6981510938E+001	3.2076387130E+001
1.7166666667E+000	3.6982532399E+001	3.2066439466E+001
1.7333333333E+000	3.6983543459E+001	3.2056727031E+001
1.7500000000E+000	3.6984544241E+001	3.2047247844E+001
1.7666666667E+000	3.6985534867E+001	3.2037999900E+001
1.7833333333E+000	3.6986515456E+001	3.2028981169E+001
1.8000000000E+000	3.6987486129E+001	3.2020189600E+001
1.8166666667E+000	3.6988447005E+001	3.2011623122E+001
1.8333333333E+000	3.6989398202E+001	3.2003279649E+001
1.8500000000E+000	3.6990339838E+001	3.1995157074E+001
1.8666666667E+000	3.6991272029E+001	3.1987253279E+001
1.8833333333E+000	3.6992194891E+001	3.1979566131E+001
1.9000000000E+000	3.6993108538E+001	3.1972093485E+001
1.9166666667E+000	3.6994013086E+001	3.1964833185E+001
1.9333333333E+000	3.6994908647E+001	3.1957783068E+001
1.9500000000E+000	3.6995795333E+001	3.1950940960E+001
1.9666666667E+000	3.6996673256E+001	3.1944304682E+001
1.9833333333E+000	3.6997542527E+001	3.1937872050E+001
2.0000000000E+000	3.6998403254E+001	3.1931640872E+001
2.0166666667E+000	3.6999255546E+001	3.1925608958E+001
2.0333333333E+000	3.7000099512E+001	3.1919774109E+001
2.0500000000E+000	3.7000935257E+001	3.1914134131E+001
2.0666666667E+000	3.7001762888E+001	3.1908686824E+001
2.0833333333E+000	3.7002582509E+001	3.1903429992E+001
2.1000000000E+000	3.7003394225E+001	3.1898361438E+001
2.1166666667E+000	3.7004198138E+001	3.1893478969E+001
2.1333333333E+000	3.7004994351E+001	3.1888780392E+001
2.1500000000E+000	3.7005782963E+001	3.1884263521E+001
2.1666666667E+000	3.7006564076E+001	3.1879926171E+001
2.1833333333E+000	3.7007337789E+001	3.1875766164E+001
2.2000000000E+000	3.7008104199E+001	3.1871781328E+001
2.2166666667E+000	3.7008863404E+001	3.1867969496E+001
2.2333333333E+000	3.7009615500E+001	3.1864328507E+001
2.2500000000E+000	3.7010360582E+001	3.1860856210E+001
2.2666666667E+000	3.7011098744E+001	3.1857550461E+001
2.2833333333E+000	3.7011830080E+001	3.1854409123E+001
2.3000000000E+000	3.7012554681E+001	3.1851430071E+001
2.3166666667E+000	3.7013272640E+001	3.1848611187E+001
2.3333333333E+000	3.7013984046E+001	3.1845950363E+001
2.3500000000E+000	3.7014688990E+001	3.1843445504E+001
2.3666666667E+000	3.7015387559E+001	3.1841094523E+001
2.3833333333E+000	3.7016079840E+001	3.1838895346E+001
2.4000000000E+000	3.7016765921E+001	3.1836845909E+001
2.4166666667E+000	3.7017445887E+001	3.1834944162E+001
2.4333333333E+000	3.7018119822E+001	3.1833188066E+001
2.4500000000E+000	3.7018787811E+001	3.1831575594E+001
2.4666666667E+000	3.7019449935E+001	3.1830104734E+001
2.4833333333E+000	3.7020106277E+001	3.1828773485E+001
2.5000000000E+000	3.7020756918E+001	3.1827579861E+001
2.5166666667E+000	3.7021401936E+001	3.1826521889E+001
2.5333333333E+000	3.7022041413E+001	3.1825597611E+001
2.5500000000E+000	3.7022675424E+001	3.1824805081E+001
2.5666666667E+000	3.7023304048E+001	3.1824142370E+001
2.5833333333E+000	3.7023927361E+001	3.1823607562E+001
2.6000000000E+000	3.7024545438E+001	3.1823198756E+001
2.6166666667E+000	3.7025158353E+001	3.1822914067E+001
2.6333333333E+000	3.7025766181E+001	3.1822751624E+001
2.6500000000E+000	3.7026368992E+001	3.1822709571E+001
2.6666666667E+000	3.7026966861E+001	3.1822786070E+001
2.6833333333E+000	3.7027559856E+001	3.1822979295E+001
2.7000000000E+000	3.7028148049E+001	3.1823287438E+001
2.7166666667E+000	3.7028731507E+001	3.1823708706E+001
2.7333333333E+000	3.7029310301E+001	3.1824241322E+001
2.7500000000E+000	3.7029884496E+001	3.1824883526E+001
2.7666666667E+000	3.7030454160E+001	3.1825633572E+001
2.7833333333E+000	3.7031019358E+001	3.1826489733E+001
2.8000000000E+000	3.7031580155E+001	3.1827450294E+001
2.8166666667E+000	3.7032136615E+001	3.1828513560E+001
2.8333333333E+000	3.7032688801E+001	3.1829677851E+001
2.8500000000E+000	3.7033236776E+001	3.1830941503E+001
2.8666666667E+000	3.7033780601E+001	3.1832302869E+001
2.8833333333E+000	3.7034320338E+001	3.1833760318E+001
2.9000000000E+000	3.7034856046E+001	3.1835312236E+001
2.9166666667E+000	3.7035387784E+001	3.1836957024E+001
2.9333333333E+000	3.7035915610E+001	3.1838693101E+001
2.9500000000E+000	3.7036439583E+001	3.1840518901E+001
2.9666666667E+000	3.7036959760E+001	3.1842432876E+001
2.9833333333E+000	3.7037476196E+001	3.1844433493E+001
3.0000000000E+000	3.7037988947E+001	3.1846519236E+001
3.0166666667E+000	3.7038498067E+001	3.1848688606E+001
3.0333333333E+000	3.7039003610E+001	3.1850940118E+001
3.0500000000E+000	3.7039505631E+001	3.1853272308E+001
3.0666666667E+000	3.7040004180E+001	3.1855683722E+001
3.0833333333E+000	3.7040499309E+001	3.1858172927E+001
3.1000000000E+000	3.7040991071E+001	3.1860738504E+001
3.1166666667E+000	3.7041479514E+001	3.1863379052E+001
3.1333333333E+000	3.7041964689E+001	3.1866093183E+001
3.1500000000E+000	3.7042446645E+001	3.1868879528E+001
3.1666666667E+000	3.7042925430E+001	3.1871736733E+001
3.1833333333E+000	3.7043401090E+001	3.1874663458E+001
3.2000000000E+000	3.7043873674E+001	3.1877658382E+001
3.2166666667E+000	3.7044343228E+001	3.1880720198E+001
3.2333333333E+000	3.7044809797E+001	3.1883847614E+001
3.2500000000E+000	3.7045273426E+001	3.1887039355E+001
3.2666666667E+000	3.7045734159E+001	3.1890294160E+001
3.2833333333E+000	3.7046192040E+001	3.1893610786E+001
3.3000000000E+000	3.7046647112E+001	3.1896988002E+001
3.3166666667E+000	3.7047099418E+001	3.1900424596E+001
3.3333333333E+000	3.7047548999E+001	3.1903919367E+001
3.3500000000E+000	3.7047995897E+001	3.1907471132E+001
3.3666666667E+000	3.7048440152E+001	3.1911078722E+001
3.3833333333E+000	3.7048881804E+001	3.1914740983E+001
3.4000000000E+000	3.7049320893E+001	3.1918456775E+001
3.4166666667E+000	3.7049757457E+001	3.1922224975E+001
3.4333333333E+000	3.7050191536E+001	3.1926044472E+001
3.4500000000E+000	3.7050623165E+001	3.1929914171E+001
3.4666666667E+000	3.7051052384E+001	3.1933832990E+001
3.4833333333E+000	3.7051479228E+001	3.1937799862E+001
3.5000000000E+000	3.7051903733E+001	3.1941813735E+001
3.5166666667E+000	3.7052325935E+001	3.1945873570E+001
3.5333333333E+000	3.7052745870E+001	3.1949978342E+001
3.5500000000E+000	3.7053163571E+001	3.1954127040E+001
3.5666666667E+000	3.7053579072E+001	3.1958318667E+001
3.5833333333E+000	3.7053992407E+001	3.1962552238E+001
3.6000000000E+000	3.7054403610E+001	3.1966826784E+001
3.6166666667E+000	3.7054812711E+001	3.1971141348E+001
3.6333333333E+000	3.7055219744E+001	3.1975494986E+001
3.6500000000E+000	3.7055624740E+001	3.1979886768E+001
3.6666666667E+000	3.7056027729E+001	3.1984315776E+001
3.6833333333E+000	3.7056428743E+001	3.1988781105E+001
3.7000000000E+000	3.7056827812E+001	3.1993281864E+001
3.7166666667E+000	3.7057224964E+001	3.1997817173E+001
3.7333333333E+000	3.7057620230E+001	3.2002386165E+001
3.7500000000E+000	3.7058013637E+001	3.2006987988E+001
3.7666666667E+000	3.7058405214E+001	3.2011621798E+001
3.7833333333E+000	3.7058794989E+001	3.2016286765E+001
3.8000000000E+000	3.7059182990E+001	3.2020982073E+001
3.8166666667E+000	3.7059569242E+001	3.2025706916E+001
3.8333333333E+000	3.7059953774E+001	3.2030460498E+001
3.8500000000E+000	3.7060336610E+001	3.2035242040E+001
3.8666666667E+000	3.7060717776E+001	3.2040050768E+001
3.8833333333E+000	3.7061097298E+001	3.2044885926E+001
3.9000000000E+000	3.7061475201E+001	3.2049746764E+001
3.9166666667E+000	3.7061851509E+001	3.2054632547E+001
